572800
0 DATA: {'roll': '3.23', 'pitch': '-4.46', 'yaw': '-256.30', 'AccX': '-0.78', 'AccY': '-0.20', 'AccZ': '0.56', 'millis': '12207'}
1 DATA: {'roll': '-38.76', 'pitch': '52.75', 'yaw': '82.62', 'AccX': '0.99', 'AccY': '-0.16', 'AccZ': '-0.20', 'millis': '572920'}
2 DATA: {'roll': '-2.57', 'pitch': '-23.64', 'yaw': '168.41', 'AccX': '0.48', 'AccY': '-1.55', 'AccZ': '-0.15', 'millis': '-16162'}
3 DATA: {'roll': '8.45', 'pitch': '-48.99', 'yaw': '166.44', 'AccX': '-0.19', 'AccY': '-0.01', 'AccZ': '0.20', 'millis': '-15713'}
4 DATA: {'roll': '-79.84', 'pitch': '-96.96', 'yaw': '115.73', 'AccX': '-0.21', 'AccY': '-0.37', 'AccZ': '0.95', 'millis': '574711'}
5 DATA: {'roll': '-49.48', 'pitch': '36.88', 'yaw': '31.99', 'AccX': '-0.02', 'AccY': '-0.39', 'AccZ': '0.18', 'millis': '575062'}
6 DATA: {'roll': '-46.38', 'pitch': '9.00', 'yaw': '-20.20', 'AccX': '0.96', 'AccY': '-0.70', 'AccZ': '-0.31', 'millis': '-14563'}
7 DATA: {'roll': '151.89', 'pitch': '-47.30', 'yaw': '278.94', 'AccX': '0.32', 'AccY': '-1.03', 'AccZ': '-0.13', 'millis': '576512'}
8 DATA: {'roll': '-11.15', 'pitch': '-19.75', 'yaw': '310.84', 'AccX': '-0.44', 'AccY': '-0.13', 'AccZ': '0.27', 'millis': '576711'}
9 DATA: {'roll': '11.12', 'pitch': '-17.66', 'yaw': '301.92', 'AccX': '-0.48', 'AccY': '0.10', 'AccZ': '1.06', 'millis': '577012'}
10 DATA: {'roll': '1.06', 'pitch': '7.94', 'yaw': '297.73', 'AccX': '-0.47', 'AccY': '0.00', 'AccZ': '0.66', 'millis': '577212'}
11 DATA: {'roll': '-1.12', 'pitch': '-16.46', 'yaw': '296.35', 'AccX': '-0.87', 'AccY': '0.09', 'AccZ': '0.45', 'millis': '-12412'}
12 DATA: {'roll': '-153.06', 'pitch': '-38.57', 'yaw': '113.68', 'AccX': '0.89', 'AccY': '-0.61', 'AccZ': '-0.40', 'millis': '-11712'}
13 DATA: {'roll': '16.89', 'pitch': '-3.21', 'yaw': '100.47', 'AccX': '0.87', 'AccY': '-0.07', 'AccZ': '-0.34', 'millis': '578612'}
14 DATA: {'roll': '5.34', 'pitch': '28.19', 'yaw': '48.83', 'AccX': '-0.64', 'AccY': '-0.05', 'AccZ': '0.79', 'millis': '580259'}
15 DATA: {'roll': '0.09', 'pitch': '-0.80', 'yaw': '46.30', 'AccX': '-0.60', 'AccY': '-0.06', 'AccZ': '0.55', 'millis': '580412'}
16 DATA: {'roll': '-28.90', 'pitch': '-43.72', 'yaw': '41.14', 'AccX': '-0.70', 'AccY': '0.03', 'AccZ': '0.52', 'millis': '580612'}
17 DATA: {'roll': '-7.88', 'pitch': '3.82', 'yaw': '30.23', 'AccX': '-0.15', 'AccY': '-0.72', 'AccZ': '1.03', 'millis': '580811'}
18 DATA: {'roll': '-26.56', 'pitch': '3.57', 'yaw': '3.60', 'AccX': '-0.19', 'AccY': '-0.22', 'AccZ': '0.57', 'millis': '581061'}
