901410
0 DATA: {'roll': '12.90', 'pitch': '-10.01', 'yaw': '291.61', 'AccX': '1.03', 'AccY': '-0.16', 'AccZ': '-0.05', 'millis': '-15383'}
1 DATA: {'roll': '1.73', 'pitch': '-15.02', 'yaw': '286.88', 'AccX': '1.01', 'AccY': '-0.12', 'AccZ': '-0.04', 'millis': '902772'}
2 DATA: {'roll': '-3.33', 'pitch': '-5.40', 'yaw': '286.39', 'AccX': '1.00', 'AccY': '-0.14', 'AccZ': '-0.05', 'millis': '902972'}
3 DATA: {'roll': '-1.19', 'pitch': '-6.60', 'yaw': '282.98', 'AccX': '1.01', 'AccY': '-0.17', 'AccZ': '-0.07', 'millis': '903172'}
4 DATA: {'roll': '1.91', 'pitch': '5.21', 'yaw': '296.55', 'AccX': '1.19', 'AccY': '-0.41', 'AccZ': '0.09', 'millis': '-14132'}
5 DATA: {'roll': '-35.52', 'pitch': '23.65', 'yaw': '311.51', 'AccX': '-0.85', 'AccY': '-0.37', 'AccZ': '0.70', 'millis': '903971'}
6 DATA: {'roll': '1.87', 'pitch': '-1.61', 'yaw': '312.01', 'AccX': '-0.96', 'AccY': '-0.36', 'AccZ': '0.40', 'millis': '-13332'}
7 DATA: {'roll': '3.60', 'pitch': '-29.85', 'yaw': '262.42', 'AccX': '-0.29', 'AccY': '-0.08', 'AccZ': '0.09', 'millis': '904772'}
8 DATA: {'roll': '20.25', 'pitch': '30.12', 'yaw': '262.03', 'AccX': '-0.77', 'AccY': '-0.51', 'AccZ': '0.50', 'millis': '905072'}
9 DATA: {'roll': '14.95', 'pitch': '32.07', 'yaw': '258.22', 'AccX': '-0.63', 'AccY': '-0.23', 'AccZ': '-0.06', 'millis': '905272'}
10 DATA: {'roll': '-5.64', 'pitch': '22.07', 'yaw': '245.20', 'AccX': '-0.28', 'AccY': '-0.41', 'AccZ': '-0.95', 'millis': '-12032'}
11 DATA: {'roll': '-52.63', 'pitch': '-110.54', 'yaw': '267.33', 'AccX': '-0.56', 'AccY': '-0.22', 'AccZ': '-0.14', 'millis': '906021'}
12 DATA: {'roll': '-6.39', 'pitch': '10.14', 'yaw': '275.84', 'AccX': '-1.14', 'AccY': '-0.11', 'AccZ': '0.40', 'millis': '906322'}
13 DATA: {'roll': '-17.55', 'pitch': '-2.39', 'yaw': '267.24', 'AccX': '-0.59', 'AccY': '-0.06', 'AccZ': '0.15', 'millis': '906522'}
