212338
0 DATA: {'roll': '-259.80', 'pitch': '-190.23', 'yaw': '34.19', 'AccX': '1.01', 'AccY': '-0.12', 'AccZ': '-0.05', 'millis': '212508'}
1 DATA: {'roll': '14.10', 'pitch': '-9.73', 'yaw': '27.42', 'AccX': '1.02', 'AccY': '-0.14', 'AccZ': '-0.02', 'millis': '16442'}
2 DATA: {'roll': '137.07', 'pitch': '-23.36', 'yaw': '61.95', 'AccX': '1.13', 'AccY': '-0.39', 'AccZ': '-0.01', 'millis': '213750'}
3 DATA: {'roll': '1.12', 'pitch': '17.90', 'yaw': '121.77', 'AccX': '1.39', 'AccY': '-0.94', 'AccZ': '0.53', 'millis': '214000'}
4 DATA: {'roll': '61.63', 'pitch': '56.19', 'yaw': '99.33', 'AccX': '-0.02', 'AccY': '-0.11', 'AccZ': '0.24', 'millis': '214250'}
5 DATA: {'roll': '10.01', 'pitch': '-0.62', 'yaw': '90.50', 'AccX': '-0.81', 'AccY': '-0.24', 'AccZ': '0.07', 'millis': '214450'}
6 DATA: {'roll': '13.85', 'pitch': '8.43', 'yaw': '74.79', 'AccX': '-1.01', 'AccY': '0.28', 'AccZ': '0.55', 'millis': '18041'}
7 DATA: {'roll': '151.16', 'pitch': '2.41', 'yaw': '213.94', 'AccX': '1.79', 'AccY': '-0.85', 'AccZ': '-0.33', 'millis': '215400'}
8 DATA: {'roll': '61.21', 'pitch': '54.62', 'yaw': '225.64', 'AccX': '0.42', 'AccY': '-0.45', 'AccZ': '0.25', 'millis': '215650'}
9 DATA: {'roll': '-12.66', 'pitch': '-2.79', 'yaw': '202.51', 'AccX': '-1.12', 'AccY': '-0.75', 'AccZ': '0.09', 'millis': '215849'}
10 DATA: {'roll': '2.46', 'pitch': '-5.83', 'yaw': '209.87', 'AccX': '-0.80', 'AccY': '-0.04', 'AccZ': '0.88', 'millis': '216050'}
11 DATA: {'roll': '36.51', 'pitch': '16.03', 'yaw': '199.91', 'AccX': '-1.20', 'AccY': '0.45', 'AccZ': '0.98', 'millis': '216250'}
12 DATA: {'roll': '49.65', 'pitch': '6.10', 'yaw': '174.40', 'AccX': '-0.80', 'AccY': '-0.07', 'AccZ': '0.16', 'millis': '216450'}
13 DATA: {'roll': '-21.18', 'pitch': '3.84', 'yaw': '169.25', 'AccX': '-0.06', 'AccY': '-1.08', 'AccZ': '0.46', 'millis': '20041'}
14 DATA: {'roll': '170.48', 'pitch': '-24.97', 'yaw': '192.53', 'AccX': '1.91', 'AccY': '-0.94', 'AccZ': '-0.01', 'millis': '21692'}
15 DATA: {'roll': '170.48', 'pitch': '-24.97', 'yaw': '192.53', 'AccX': '1.91', 'AccY': '-0.94', 'AccZ': '-0.01', 'millis': '21692'}
16 DATA: {'roll': '30.21', 'pitch': '18.70', 'yaw': '148.74', 'AccX': '-0.82', 'AccY': '0.07', 'AccZ': '1.12', 'millis': '22591'}
17 DATA: {'roll': '-18.34', 'pitch': '2.02', 'yaw': '214.43', 'AccX': '-0.42', 'AccY': '-0.67', 'AccZ': '0.15', 'millis': '219800'}
18 DATA: {'roll': '-25.86', 'pitch': '-17.67', 'yaw': '245.25', 'AccX': '-0.92', 'AccY': '0.03', 'AccZ': '0.43', 'millis': '220000'}
19 DATA: {'roll': '-23.36', 'pitch': '-2.61', 'yaw': '254.65', 'AccX': '-0.84', 'AccY': '0.53', 'AccZ': '1.09', 'millis': '220199'}
20 DATA: {'roll': '-3.70', 'pitch': '-0.95', 'yaw': '253.10', 'AccX': '-0.71', 'AccY': '0.18', 'AccZ': '0.65', 'millis': '220400'}
21 DATA: {'roll': '4.52', 'pitch': '-3.39', 'yaw': '249.86', 'AccX': '-0.76', 'AccY': '0.01', 'AccZ': '0.65', 'millis': '220750'}
22 DATA: {'roll': '9.09', 'pitch': '-0.75', 'yaw': '245.70', 'AccX': '-0.75', 'AccY': '0.12', 'AccZ': '0.65', 'millis': '220950'}
23 DATA: {'roll': '9.22', 'pitch': '-8.84', 'yaw': '211.17', 'AccX': '-0.51', 'AccY': '0.24', 'AccZ': '0.48', 'millis': '24542'}
24 DATA: {'roll': '230.37', 'pitch': '236.54', 'yaw': '138.63', 'AccX': '0.06', 'AccY': '-0.10', 'AccZ': '0.20', 'millis': '222199'}
25 DATA: {'roll': '-7.96', 'pitch': '-10.74', 'yaw': '120.64', 'AccX': '-0.93', 'AccY': '-0.51', 'AccZ': '0.24', 'millis': '25842'}
26 DATA: {'roll': '80.38', 'pitch': '58.06', 'yaw': '91.34', 'AccX': '-1.15', 'AccY': '-0.11', 'AccZ': '0.17', 'millis': '222950'}
27 DATA: {'roll': '-0.68', 'pitch': '-20.95', 'yaw': '61.68', 'AccX': '-0.16', 'AccY': '-0.31', 'AccZ': '0.53', 'millis': '26592'}
28 DATA: {'roll': '23.17', 'pitch': '6.21', 'yaw': '12.39', 'AccX': '-0.75', 'AccY': '0.36', 'AccZ': '0.57', 'millis': '27640'}
29 DATA: {'roll': '152.03', 'pitch': '219.26', 'yaw': '164.24', 'AccX': '0.68', 'AccY': '-0.59', 'AccZ': '0.31', 'millis': '28742'}
30 DATA: {'roll': '4.91', 'pitch': '-10.52', 'yaw': '153.76', 'AccX': '-0.83', 'AccY': '-0.29', 'AccZ': '0.62', 'millis': '225950'}
31 DATA: {'roll': '21.65', 'pitch': '15.66', 'yaw': '147.11', 'AccX': '-1.04', 'AccY': '0.32', 'AccZ': '0.87', 'millis': '29592'}
32 DATA: {'roll': '-49.71', 'pitch': '-15.60', 'yaw': '196.89', 'AccX': '-0.44', 'AccY': '-0.47', 'AccZ': '0.17', 'millis': '226850'}
33 DATA: {'roll': '-23.87', 'pitch': '-20.89', 'yaw': '223.55', 'AccX': '-0.93', 'AccY': '-0.20', 'AccZ': '0.56', 'millis': '30492'}
34 DATA: {'roll': '40.96', 'pitch': '6.50', 'yaw': '210.43', 'AccX': '-0.79', 'AccY': '0.03', 'AccZ': '0.71', 'millis': '227800'}
35 DATA: {'roll': '10.62', 'pitch': '2.47', 'yaw': '186.17', 'AccX': '-0.59', 'AccY': '0.00', 'AccZ': '0.59', 'millis': '31392'}
36 DATA: {'roll': '192.98', 'pitch': '-98.47', 'yaw': '279.20', 'AccX': '1.42', 'AccY': '-0.32', 'AccZ': '-0.12', 'millis': '32192'}
37 DATA: {'roll': '140.63', 'pitch': '122.13', 'yaw': '237.14', 'AccX': '-0.35', 'AccY': '-0.40', 'AccZ': '0.40', 'millis': '-32744'}
38 DATA: {'roll': '26.53', 'pitch': '-59.65', 'yaw': '131.49', 'AccX': '-0.27', 'AccY': '-0.40', 'AccZ': '0.43', 'millis': '-31644'}
39 DATA: {'roll': '-97.62', 'pitch': '-15.82', 'yaw': '161.68', 'AccX': '-0.85', 'AccY': '0.31', 'AccZ': '0.49', 'millis': '-31093'}
40 DATA: {'roll': '12.98', 'pitch': '2.36', 'yaw': '162.81', 'AccX': '-0.69', 'AccY': '0.20', 'AccZ': '0.70', 'millis': '-30543'}
41 DATA: {'roll': '24.03', 'pitch': '-8.09', 'yaw': '107.88', 'AccX': '-0.61', 'AccY': '0.06', 'AccZ': '0.37', 'millis': '231900'}
42 DATA: {'roll': '137.18', 'pitch': '-50.33', 'yaw': '87.76', 'AccX': '1.51', 'AccY': '-0.25', 'AccZ': '-0.42', 'millis': '232699'}
43 DATA: {'roll': '137.18', 'pitch': '-50.33', 'yaw': '87.76', 'AccX': '1.51', 'AccY': '-0.25', 'AccZ': '-0.42', 'millis': '-29445'}
44 DATA: {'roll': '51.15', 'pitch': '32.91', 'yaw': '123.51', 'AccX': '-0.62', 'AccY': '-0.30', 'AccZ': '0.42', 'millis': '-28744'}
45 DATA: {'roll': '51.15', 'pitch': '32.91', 'yaw': '123.51', 'AccX': '-0.62', 'AccY': '-0.30', 'AccZ': '0.42', 'millis': '-28744'}
46 DATA: {'roll': '-14.13', 'pitch': '-47.20', 'yaw': '103.54', 'AccX': '-0.84', 'AccY': '0.10', 'AccZ': '0.80', 'millis': '-26896'}
47 DATA: {'roll': '8.50', 'pitch': '-193.03', 'yaw': '-92.96', 'AccX': '0.72', 'AccY': '-0.82', 'AccZ': '0.55', 'millis': '236001'}
48 DATA: {'roll': '87.19', 'pitch': '-43.73', 'yaw': '-92.06', 'AccX': '1.40', 'AccY': '-0.15', 'AccZ': '-0.26', 'millis': '236351'}
49 DATA: {'roll': '26.75', 'pitch': '-3.62', 'yaw': '-47.84', 'AccX': '1.22', 'AccY': '-0.60', 'AccZ': '-0.25', 'millis': '-25543'}
50 DATA: {'roll': '71.84', 'pitch': '82.84', 'yaw': '-88.17', 'AccX': '-0.45', 'AccY': '-0.60', 'AccZ': '0.40', 'millis': '237101'}
51 DATA: {'roll': '19.84', 'pitch': '11.24', 'yaw': '-96.69', 'AccX': '-0.96', 'AccY': '-0.48', 'AccZ': '0.25', 'millis': '237300'}
52 DATA: {'roll': '12.94', 'pitch': '-7.89', 'yaw': '-66.52', 'AccX': '-0.76', 'AccY': '-0.01', 'AccZ': '0.69', 'millis': '237701'}
53 DATA: {'roll': '18.93', 'pitch': '7.86', 'yaw': '-74.91', 'AccX': '-1.12', 'AccY': '0.29', 'AccZ': '0.74', 'millis': '237900'}
54 DATA: {'roll': '31.44', 'pitch': '7.81', 'yaw': '-105.52', 'AccX': '-0.59', 'AccY': '-0.19', 'AccZ': '0.41', 'millis': '238150'}
55 DATA: {'roll': '-22.92', 'pitch': '-9.82', 'yaw': '-73.36', 'AccX': '-0.50', 'AccY': '-0.45', 'AccZ': '0.28', 'millis': '238500'}
56 DATA: {'roll': '-33.56', 'pitch': '-9.96', 'yaw': '-58.93', 'AccX': '-0.96', 'AccY': '0.24', 'AccZ': '0.36', 'millis': '238750'}
57 DATA: {'roll': '-7.90', 'pitch': '-18.14', 'yaw': '-55.54', 'AccX': '-0.80', 'AccY': '0.07', 'AccZ': '0.81', 'millis': '239100'}
58 DATA: {'roll': '10.17', 'pitch': '3.73', 'yaw': '-60.72', 'AccX': '-0.76', 'AccY': '0.33', 'AccZ': '0.78', 'millis': '239300'}
59 DATA: {'roll': '17.26', 'pitch': '4.50', 'yaw': '-90.58', 'AccX': '-0.55', 'AccY': '0.18', 'AccZ': '0.47', 'millis': '239501'}
60 DATA: {'roll': '4.97', 'pitch': '-46.99', 'yaw': '-155.56', 'AccX': '-0.02', 'AccY': '-0.42', 'AccZ': '0.38', 'millis': '239751'}
61 DATA: {'roll': '19.12', 'pitch': '-66.34', 'yaw': '-198.84', 'AccX': '0.94', 'AccY': '-0.62', 'AccZ': '0.47', 'millis': '240001'}
62 DATA: {'roll': '74.70', 'pitch': '-26.85', 'yaw': '-200.52', 'AccX': '1.30', 'AccY': '-0.29', 'AccZ': '-0.59', 'millis': '240301'}
63 DATA: {'roll': '18.46', 'pitch': '-11.86', 'yaw': '-165.31', 'AccX': '1.38', 'AccY': '-0.61', 'AccZ': '-0.25', 'millis': '240500'}
64 DATA: {'roll': '31.13', 'pitch': '41.58', 'yaw': '-137.92', 'AccX': '0.13', 'AccY': '-0.66', 'AccZ': '0.35', 'millis': '240800'}
65 DATA: {'roll': '48.10', 'pitch': '34.68', 'yaw': '-148.97', 'AccX': '-0.46', 'AccY': '-0.53', 'AccZ': '0.23', 'millis': '-21143'}
66 DATA: {'roll': '51.96', 'pitch': '37.97', 'yaw': '-182.30', 'AccX': '-0.98', 'AccY': '0.05', 'AccZ': '0.93', 'millis': '241501'}
67 DATA: {'roll': '36.35', 'pitch': '9.50', 'yaw': '-206.12', 'AccX': '-0.82', 'AccY': '-0.28', 'AccZ': '0.22', 'millis': '241801'}
68 DATA: {'roll': '-8.20', 'pitch': '0.70', 'yaw': '-197.49', 'AccX': '-0.46', 'AccY': '-0.65', 'AccZ': '0.08', 'millis': '242101'}
69 DATA: {'roll': '-27.99', 'pitch': '-10.20', 'yaw': '-178.97', 'AccX': '-0.82', 'AccY': '-0.13', 'AccZ': '0.38', 'millis': '-19793'}
70 DATA: {'roll': '69.73', 'pitch': '-57.98', 'yaw': '288.35', 'AccX': '-0.61', 'AccY': '-0.03', 'AccZ': '0.39', 'millis': '243400'}
