736155
0 DATA: {'roll': '-4.95', 'pitch': '-6.99', 'yaw': '-299.63', 'AccX': '0.96', 'AccY': '-0.13', 'AccZ': '-0.27', 'millis': '-13296'}
1 DATA: {'roll': '3.37', 'pitch': '-6.98', 'yaw': '-12.08', 'AccX': '1.02', 'AccY': '-0.10', 'AccZ': '-0.10', 'millis': '736518'}
2 DATA: {'roll': '1.45', 'pitch': '-6.45', 'yaw': '-13.47', 'AccX': '1.01', 'AccY': '-0.08', 'AccZ': '-0.12', 'millis': '736768'}
3 DATA: {'roll': '2.97', 'pitch': '55.03', 'yaw': '12.65', 'AccX': '1.57', 'AccY': '-0.35', 'AccZ': '0.59', 'millis': '737118'}
4 DATA: {'roll': '19.46', 'pitch': '14.20', 'yaw': '27.94', 'AccX': '-0.21', 'AccY': '-0.33', 'AccZ': '0.78', 'millis': '17018'}
5 DATA: {'roll': '1.48', 'pitch': '1.75', 'yaw': '45.36', 'AccX': '-0.62', 'AccY': '-0.11', 'AccZ': '0.67', 'millis': '738567'}
6 DATA: {'roll': '2.32', 'pitch': '-3.38', 'yaw': '45.02', 'AccX': '-0.85', 'AccY': '-0.06', 'AccZ': '0.70', 'millis': '738766'}
7 DATA: {'roll': '-5.97', 'pitch': '-12.28', 'yaw': '43.66', 'AccX': '-0.47', 'AccY': '-0.13', 'AccZ': '0.65', 'millis': '738967'}
8 DATA: {'roll': '-82.55', 'pitch': '-11.33', 'yaw': '10.90', 'AccX': '-0.11', 'AccY': '-0.57', 'AccZ': '0.40', 'millis': '18420'}
9 DATA: {'roll': '-41.23', 'pitch': '6.76', 'yaw': '-3.69', 'AccX': '0.22', 'AccY': '-0.71', 'AccZ': '-1.11', 'millis': '739817'}
10 DATA: {'roll': '12.80', 'pitch': '-1.55', 'yaw': '3.69', 'AccX': '0.97', 'AccY': '-0.04', 'AccZ': '-0.72', 'millis': '19221'}
11 DATA: {'roll': '4.66', 'pitch': '-21.39', 'yaw': '37.60', 'AccX': '0.60', 'AccY': '-0.26', 'AccZ': '-0.74', 'millis': '740667'}
12 DATA: {'roll': '-2.60', 'pitch': '-12.08', 'yaw': '28.37', 'AccX': '0.57', 'AccY': '-0.40', 'AccZ': '-1.05', 'millis': '20370'}
13 DATA: {'roll': '77.33', 'pitch': '33.05', 'yaw': '62.48', 'AccX': '-0.14', 'AccY': '-0.25', 'AccZ': '0.51', 'millis': '20921'}
14 DATA: {'roll': '-12.93', 'pitch': '2.92', 'yaw': '69.98', 'AccX': '-0.71', 'AccY': '0.07', 'AccZ': '0.83', 'millis': '21770'}
15 DATA: {'roll': '-22.29', 'pitch': '-1.33', 'yaw': '103.12', 'AccX': '-0.72', 'AccY': '-0.06', 'AccZ': '0.81', 'millis': '743267'}
16 DATA: {'roll': '-1.51', 'pitch': '1.63', 'yaw': '100.80', 'AccX': '-0.60', 'AccY': '0.03', 'AccZ': '0.81', 'millis': '743467'}
17 DATA: {'roll': '-20.56', 'pitch': '-3.04', 'yaw': '106.98', 'AccX': '-0.61', 'AccY': '0.04', 'AccZ': '0.64', 'millis': '743666'}
18 DATA: {'roll': '-71.37', 'pitch': '9.90', 'yaw': '66.62', 'AccX': '-0.28', 'AccY': '-0.66', 'AccZ': '-0.22', 'millis': '743967'}
19 DATA: {'roll': '-19.88', 'pitch': '24.90', 'yaw': '44.41', 'AccX': '0.47', 'AccY': '-0.46', 'AccZ': '-1.22', 'millis': '23521'}
20 DATA: {'roll': '-19.88', 'pitch': '24.90', 'yaw': '44.41', 'AccX': '0.47', 'AccY': '-0.46', 'AccZ': '-1.22', 'millis': '23521'}
21 DATA: {'roll': '0.04', 'pitch': '-2.91', 'yaw': '33.00', 'AccX': '0.65', 'AccY': '-0.11', 'AccZ': '-0.69', 'millis': '744918'}
22 DATA: {'roll': '3.33', 'pitch': '-11.24', 'yaw': '45.27', 'AccX': '0.21', 'AccY': '-0.73', 'AccZ': '-1.07', 'millis': '745167'}
23 DATA: {'roll': '3.33', 'pitch': '-11.24', 'yaw': '45.27', 'AccX': '0.21', 'AccY': '-0.73', 'AccZ': '-1.07', 'millis': '24271'}
24 DATA: {'roll': '84.50', 'pitch': '5.81', 'yaw': '59.49', 'AccX': '0.32', 'AccY': '-1.09', 'AccZ': '-0.03', 'millis': '746365'}
25 DATA: {'roll': '24.51', 'pitch': '26.91', 'yaw': '64.41', 'AccX': '-0.30', 'AccY': '0.02', 'AccZ': '0.64', 'millis': '25822'}
26 DATA: {'roll': '5.81', 'pitch': '-6.73', 'yaw': '47.69', 'AccX': '-0.43', 'AccY': '-0.02', 'AccZ': '0.77', 'millis': '26272'}
27 DATA: {'roll': '-6.71', 'pitch': '-1.03', 'yaw': '63.69', 'AccX': '-0.71', 'AccY': '0.03', 'AccZ': '0.82', 'millis': '747465'}
28 DATA: {'roll': '-1.12', 'pitch': '-3.32', 'yaw': '63.27', 'AccX': '-1.08', 'AccY': '0.31', 'AccZ': '0.99', 'millis': '747568'}
29 DATA: {'roll': '4.93', 'pitch': '0.43', 'yaw': '55.99', 'AccX': '-0.84', 'AccY': '0.05', 'AccZ': '0.94', 'millis': '747668'}
30 DATA: {'roll': '14.89', 'pitch': '-3.86', 'yaw': '39.84', 'AccX': '0.40', 'AccY': '-0.46', 'AccZ': '-0.95', 'millis': '29669'}
31 DATA: {'roll': '141.02', 'pitch': '13.84', 'yaw': '108.86', 'AccX': '0.15', 'AccY': '-0.79', 'AccZ': '0.10', 'millis': '751217'}
32 DATA: {'roll': '41.42', 'pitch': '7.68', 'yaw': '106.06', 'AccX': '-0.17', 'AccY': '-0.37', 'AccZ': '0.54', 'millis': '751417'}
33 DATA: {'roll': '-0.36', 'pitch': '-5.18', 'yaw': '111.30', 'AccX': '-0.44', 'AccY': '0.09', 'AccZ': '0.72', 'millis': '751617'}
34 DATA: {'roll': '5.76', 'pitch': '-5.63', 'yaw': '97.24', 'AccX': '-0.90', 'AccY': '0.23', 'AccZ': '0.81', 'millis': '751866'}
35 DATA: {'roll': '3.50', 'pitch': '7.11', 'yaw': '98.55', 'AccX': '0.14', 'AccY': '-0.41', 'AccZ': '0.96', 'millis': '752117'}
36 DATA: {'roll': '-1.87', 'pitch': '-0.79', 'yaw': '99.90', 'AccX': '-1.07', 'AccY': '0.33', 'AccZ': '0.94', 'millis': '31471'}
37 DATA: {'roll': '7.98', 'pitch': '-7.59', 'yaw': '119.83', 'AccX': '-0.85', 'AccY': '0.11', 'AccZ': '0.95', 'millis': '752917'}
38 DATA: {'roll': '0.15', 'pitch': '-2.63', 'yaw': '114.93', 'AccX': '-0.42', 'AccY': '-0.03', 'AccZ': '0.85', 'millis': '753267'}
39 DATA: {'roll': '-31.70', 'pitch': '-4.43', 'yaw': '118.33', 'AccX': '-0.40', 'AccY': '0.05', 'AccZ': '0.59', 'millis': '753467'}
40 DATA: {'roll': '-48.33', 'pitch': '13.90', 'yaw': '104.20', 'AccX': '-0.17', 'AccY': '-0.65', 'AccZ': '0.24', 'millis': '-32764'}
41 DATA: {'roll': '-30.66', 'pitch': '30.99', 'yaw': '78.80', 'AccX': '0.16', 'AccY': '-0.60', 'AccZ': '-1.31', 'millis': '754216'}
42 DATA: {'roll': '6.18', 'pitch': '-17.79', 'yaw': '85.32', 'AccX': '1.17', 'AccY': '-0.20', 'AccZ': '-0.76', 'millis': '754467'}
43 DATA: {'roll': '-3.51', 'pitch': '-2.55', 'yaw': '73.15', 'AccX': '0.64', 'AccY': '-0.22', 'AccZ': '-0.77', 'millis': '754667'}
44 DATA: {'roll': '-9.67', 'pitch': '-1.48', 'yaw': '68.38', 'AccX': '-0.22', 'AccY': '-0.89', 'AccZ': '-1.13', 'millis': '-31565'}
45 DATA: {'roll': '-0.47', 'pitch': '21.80', 'yaw': '30.62', 'AccX': '0.36', 'AccY': '-0.36', 'AccZ': '-0.90', 'millis': '755418'}
46 DATA: {'roll': '3.30', 'pitch': '-6.27', 'yaw': '30.07', 'AccX': '0.41', 'AccY': '-0.34', 'AccZ': '-0.86', 'millis': '-30815'}
47 DATA: {'roll': '110.23', 'pitch': '-15.64', 'yaw': '87.67', 'AccX': '0.45', 'AccY': '-1.27', 'AccZ': '-0.46', 'millis': '756067'}
48 DATA: {'roll': '48.07', 'pitch': '8.53', 'yaw': '105.17', 'AccX': '0.09', 'AccY': '-0.44', 'AccZ': '0.34', 'millis': '756268'}
49 DATA: {'roll': '5.71', 'pitch': '-1.85', 'yaw': '107.56', 'AccX': '-0.45', 'AccY': '0.11', 'AccZ': '0.73', 'millis': '756568'}
50 DATA: {'roll': '-0.74', 'pitch': '-4.24', 'yaw': '102.42', 'AccX': '-0.95', 'AccY': '0.35', 'AccZ': '0.78', 'millis': '756767'}
51 DATA: {'roll': '1.65', 'pitch': '7.38', 'yaw': '104.17', 'AccX': '0.09', 'AccY': '-0.36', 'AccZ': '0.88', 'millis': '757067'}
52 DATA: {'roll': '-2.78', 'pitch': '-6.46', 'yaw': '105.77', 'AccX': '-0.97', 'AccY': '0.14', 'AccZ': '1.09', 'millis': '757317'}
53 DATA: {'roll': '-7.53', 'pitch': '-2.64', 'yaw': '106.08', 'AccX': '0.37', 'AccY': '-0.31', 'AccZ': '0.98', 'millis': '757667'}
